,CMPNM_NM,JJINHBT_SALES_PRICE_RATE,OTSD_SALES_PRICE_RATE,ALL_SALES_PRICE_RATE,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM
14260,파스쿠찌성산포수협점,0.11,0.015,0.023333333333333334,서귀포시,성산읍,성산읍,음료,커피
14261,파스쿠찌신제주점,0.8850000000000001,0.024999999999999998,0.08166666666666667,제주시,오라동,제주시 동지역,음료,커피
14262,파스쿠찌용담해안도로점,1.0883333333333334,0.08666666666666667,0.1466666666666667,제주시,용담2동,제주시 동지역,음료,커피
14263,파스쿠찌제주도남점,1.6983333333333335,0.02,0.12,제주시,이도2동,제주시 동지역,음료,커피
14264,파스쿠찌제주서사라점,0.14,0.0,0.01,제주시,삼도1동,제주시 동지역,음료,커피
14265,파스쿠찌제주세화디아이점,0.4733333333333334,0.024999999999999998,0.049999999999999996,제주시,구좌읍,구좌읍,음료,커피
14266,파스쿠찌제주영어교육도시점,1.4766666666666666,0.08833333333333333,0.17500000000000002,서귀포시,대정읍,대정읍,음료,커피
14267,파스쿠찌제주이도점,1.1516666666666666,0.011666666666666667,0.08,제주시,이도2동,제주시 동지역,음료,커피
14268,파스쿠찌제주제원점,2.2883333333333336,0.07833333333333332,0.21333333333333335,제주시,연동,제주시 동지역,음료,커피
14269,파스쿠찌제주중문점,0.43,0.021666666666666667,0.045000000000000005,서귀포시,중문동,서귀포시 동지역,음료,커피
14270,파스쿠찌제주한라대점,2.2816666666666667,0.051666666666666666,0.18833333333333335,제주시,노형동,제주시 동지역,음료,커피
14271,파스쿠찌제주한라병원점,0.8416666666666667,0.018333333333333333,0.07,제주시,연동,제주시 동지역,음료,커피
14272,파스쿠찌종합청사점,0.9383333333333334,0.013333333333333334,0.06833333333333334,제주시,이도2동,제주시 동지역,음료,커피
14273,파스쿠찌탑동점,0.7616666666666667,0.034999999999999996,0.08,제주시,일도1동,제주시 동지역,음료,커피
14274,파스쿠찌한림점,0.285,0.013333333333333334,0.03,제주시,한림읍,한림읍,음료,커피
14275,파스타앤소주,0.4633333333333334,0.008333333333333333,0.03666666666666667,서귀포시,정방동,서귀포시 동지역,양식,스테이크
14276,파스타입니다 시청점,0.25166666666666665,0.0,0.016666666666666666,제주시,이도1동,제주시 동지역,양식,스테이크
14277,파스토,0.29833333333333334,0.06666666666666667,0.08,제주시,한림읍,한림읍,한식,단품요리 전문
14278,파시랑,0.13166666666666668,0.016666666666666666,0.023333333333333334,서귀포시,정방동,서귀포시 동지역,한식,단품요리 전문
14279,파우자,0.04833333333333333,0.05666666666666667,0.05666666666666667,서귀포시,송산동,서귀포시 동지역,한식,단품요리 전문
14280,파이굽는돌담집,0.8533333333333334,0.01,0.06333333333333334,제주시,아라동,제주시 동지역,간식,베이커리
14281,파인더,2.22,0.08666666666666667,0.22,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14282,파주닭국수 (제주점),0.9066666666666667,0.021666666666666667,0.07333333333333333,서귀포시,대륜동,서귀포시 동지역,한식,단품요리 전문
14283,파주닭국수 (제주하귀점),0.9700000000000001,0.015,0.07333333333333333,제주시,애월읍,애월읍,한식,단품요리 전문
14284,파티,0.6,0.0071428571428571435,0.045714285714285714,제주시,연동,제주시 동지역,한식,단품요리 전문
14285,파티올레키친,0.105,0.006666666666666667,0.013333333333333334,제주시,건입동,제주시 동지역,한식,가정식
14286,파파야,0.02,0.02,0.02,서귀포시,성산읍,성산읍,한식,단품요리 전문
14287,파파엔도터 (papa&daughter),0.13999999999999999,0.008333333333333333,0.015,서귀포시,정방동,서귀포시 동지역,한식,단품요리 전문
14288,파파카페테리아,0.0,0.0,0.0,제주시,한경면,한경면,한식,가정식
14289,파프리카,0.11400000000000002,0.006,0.014000000000000002,서귀포시,대천동,서귀포시 동지역,한식,단품요리 전문
14290,파프리카가든,0.36000000000000004,0.0033333333333333335,0.024999999999999998,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14291,파피용 살롱 드 떼,1.8183333333333334,0.008333333333333333,0.12833333333333333,서귀포시,표선면,표선면,한식,단품요리 전문
14292,팍차이나,1.23,0.01,0.076,제주시,아라동,제주시 동지역,아시아음식,일식
14293,팍차이나시청점,0.8433333333333334,0.01,0.05333333333333334,제주시,이도2동,제주시 동지역,아시아음식,중식
14294,판,0.02,0.0,0.0,제주시,삼도2동,제주시 동지역,양식,양식
14295,판다루,0.09333333333333334,0.01,0.015,제주시,일도1동,제주시 동지역,한식,단품요리 전문
14296,판포리마을회,0.01,0.0,0.0,제주시,한경면,한경면,양식,양식
14297,판포리아,0.08,0.06,0.065,제주시,한경면,한경면,한식,단품요리 전문
14298,판포미인,0.125,0.11666666666666665,0.12166666666666666,제주시,한경면,한경면,한식,단품요리 전문
14299,판포아라,0.0075,0.0225,0.0225,제주시,한경면,한경면,한식,단품요리 전문
14300,판포어촌계직영펜션식당,0.38833333333333336,0.036666666666666674,0.05833333333333334,제주시,한경면,한경면,한식,단품요리 전문
14301,팔각촌,0.7683333333333332,0.07333333333333333,0.11833333333333335,제주시,이도2동,제주시 동지역,한식,가정식
14302,팔공티 노형점,0.85,0.01,0.05833333333333333,제주시,연동,제주시 동지역,음료,커피
14303,팔공티 삼양점,0.29,0.0,0.021666666666666667,제주시,삼양동,제주시 동지역,음료,커피
14304,팔도강산성읍1리복지타운,0.0,0.0,0.0,서귀포시,표선면,표선면,한식,가정식
14305,팔도민박횟집,0.022,0.044,0.044,서귀포시,대정읍,대정읍,한식,단품요리 전문
14306,팔도수산,1.1083333333333334,0.19166666666666665,0.25333333333333335,제주시,건입동,제주시 동지역,한식,가정식
14307,팔도식당갈치조림섭지코지점,0.011666666666666667,0.12833333333333333,0.125,서귀포시,성산읍,성산읍,한식,단품요리 전문
14308,팔도실비노형점,0.32166666666666666,0.0016666666666666668,0.02,제주시,노형동,제주시 동지역,주점및주류판매,꼬치구이
14309,팔도실비집 삼화점,0.8483333333333333,0.006666666666666667,0.06,제주시,삼양동,제주시 동지역,한식,가정식
14310,팔도실비집 아라점,0.44333333333333336,0.0016666666666666668,0.028333333333333335,제주시,아라동,제주시 동지역,한식,가정식
14311,팔도실비집신서귀포점,0.6316666666666667,0.023333333333333334,0.06,서귀포시,대륜동,서귀포시 동지역,한식,가정식
14312,팔로우,0.18666666666666668,0.0,0.013333333333333334,서귀포시,동홍동,서귀포시 동지역,한식,가정식
14313,팔마식당,0.39666666666666667,0.006666666666666667,0.035,서귀포시,서홍동,서귀포시 동지역,한식,가정식
14314,팔미돈가,0.255,0.36833333333333335,0.375,서귀포시,안덕면,안덕면,한식,가정식
14315,팔미돈가2호점,0.05333333333333334,0.04,0.04,서귀포시,성산읍,성산읍,한식,단품요리 전문
14316,팔복고기상회,1.0533333333333335,0.01,0.075,제주시,건입동,제주시 동지역,한식,단품요리 전문
14317,팔복식당,0.16166666666666668,0.0,0.01,서귀포시,동홍동,서귀포시 동지역,한식,가정식
14318,팔오회센타,0.182,0.0,0.01,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14319,팔천순대&카페,0.52,0.023333333333333334,0.04833333333333334,서귀포시,성산읍,성산읍,한식,단품요리 전문
14320,팔팔,0.4666666666666666,0.0,0.028333333333333335,제주시,삼도1동,제주시 동지역,한식,단품요리 전문
14321,팔팔돼지,1.3083333333333333,0.4083333333333334,0.4766666666666666,제주시,연동,제주시 동지역,한식,단품요리 전문
14322,팔팔수제치킨,0.008333333333333333,0.008333333333333333,0.008333333333333333,제주시,건입동,제주시 동지역,패스트푸드,치킨
14323,팔팔아나고장어구이,0.22333333333333336,0.0033333333333333335,0.016666666666666666,서귀포시,정방동,서귀포시 동지역,한식,단품요리 전문
14324,팔팔야식,0.06333333333333334,0.0,0.0033333333333333335,서귀포시,대정읍,대정읍,한식,야식
14325,팔팔자연산회센타,0.07,0.07,0.07166666666666667,서귀포시,성산읍,성산읍,아시아음식,일식
14326,팔팔통닭,0.11166666666666668,0.0,0.006666666666666667,제주시,이도2동,제주시 동지역,패스트푸드,치킨
14327,팔팔포차,0.02,0.0,0.0,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14328,팔플러스퓨전중식,0.5783333333333334,0.008333333333333333,0.041666666666666664,제주시,연동,제주시 동지역,아시아음식,중식
14329,팜스파티,0.12,0.01,0.015,제주시,외도동,제주시 동지역,한식,가정식
14330,팜트리,0.011666666666666667,0.0016666666666666668,0.0033333333333333335,서귀포시,천지동,서귀포시 동지역,한식,가정식
14331,팝콘,0.12166666666666666,0.013333333333333334,0.018333333333333333,제주시,연동,제주시 동지역,양식,양식
14332,팟타이만,0.055,0.023333333333333334,0.02666666666666667,제주시,구좌읍,구좌읍,한식,단품요리 전문
14333,팟타이시암,0.5666666666666668,0.016666666666666666,0.049999999999999996,제주시,용담2동,제주시 동지역,한식,단품요리 전문
14334,팡돌국수방,0.01,0.0,0.0,제주시,삼도1동,제주시 동지역,한식,면류
14335,팡돌비어,0.3333333333333333,0.0,0.023333333333333334,제주시,이도2동,제주시 동지역,주점및주류판매,맥주/요리주점
14336,팡송,0.14,0.03666666666666667,0.04666666666666667,제주시,연동,제주시 동지역,한식,단품요리 전문
14337,팡팡식당,0.8933333333333334,0.0016666666666666668,0.05833333333333334,서귀포시,동홍동,서귀포시 동지역,한식,가정식
14338,팡포차,0.15333333333333335,0.0,0.008333333333333333,제주시,삼도1동,제주시 동지역,한식,단품요리 전문
14339,팥,0.08166666666666667,0.016666666666666666,0.018333333333333333,제주시,한림읍,한림읍,한식,단품요리 전문
14340,패밀리만두,1.3866666666666667,0.018333333333333333,0.10333333333333333,제주시,연동,제주시 동지역,한식,단품요리 전문
14341,패션식당,0.148,0.0,0.008,제주시,한림읍,한림읍,한식,단품요리 전문
14342,패자부활전,0.08,0.0,0.01,제주시,이도2동,제주시 동지역,한식,단품요리 전문
14343,팩토리소란,0.1366666666666667,0.0,0.013333333333333334,제주시,아라동,제주시 동지역,한식,단품요리 전문
14344,팬클럽,0.09000000000000001,0.0016666666666666668,0.008333333333333333,서귀포시,중앙동,서귀포시 동지역,주점및주류판매,포장마차
14345,팰롱팰롱빛나는,0.008333333333333333,0.075,0.07333333333333333,제주시,애월읍,애월읍,한식,단품요리 전문
14346,팽이,0.308,0.0,0.02,서귀포시,표선면,표선면,한식,단품요리 전문
